name,latitude,longitude,year,count,mean,percentile90,percentile10,percentile95,percentile05,median,max,min
Ghana,11.0581,-0.2417,2018,240,0.923417759781146,2.2389779366051132,0.022038425775286766,4.3423099014470106,0.0065675464520940884,0.30297099248320591,16.801174449102749,0.00056720240485851937
Ghana,5.5551,-0.2725,2018,27,0.86722382582467827,2.767540185933425,0.0741152834287711,2.85073598471265,0.067560438938158246,0.547256947339936,3.6932112370580916,0.060318496956387135
Ghana,5.3,-1.9833,2018,29,0.38181921514286726,0.909914786606413,0.0037141119926434969,0.9953196362896819,0.0021987289768635398,0.29639314272855816,1.1146255643207166,0.00071462001035829388
Ghana,6.6667,-1.8167,2018,32,0.33184172294740305,0.51899523796224178,0.080341493804656314,0.8629628750415429,0.068305423780342017,0.3126033829911784,1.494872000518862,0.021413322606351724
Ghana,5.579,-0.2612,2018,2,0.19466870653355167,0.20603039769735687,0.18330701536974645,0.20603039769735687,0.18330701536974645,0.18330701536974645,0.20603039769735687,0.18330701536974645
Ghana,5.8167,-0.1167,2019,36,17.784245078585116,53.732963564982029,0.41058511684446769,58.810686552190482,0.072614152771566687,8.19157602164118,59.652495186380413,0.056460368897615174
Ghana,5.65,-0.1833,2019,101,9.1241287897721435,30.131027433247223,0.080491518114781307,47.870353988489427,0.057206670162558995,2.9164665429538261,58.364459250847119,0.0033878615781652785
Ghana,7.3333,-2.3333,2019,73,8.3503798134804459,17.4111477175708,0.89076432287805818,23.227721220651958,0.36894775051603684,7.310383215381826,36.629740266065362,0.0082827031496006658
Ghana,5.3,-1.9833,2019,27,7.4701804203405979,24.006903633642949,0.0021040147496208159,24.458501134815574,0.0016354921127948575,1.1760846208824685,61.783487396756911,0.00081778383290121435
Ghana,5.6167,-0.2333,2019,61,6.4663374191732217,21.354663995761658,0.11532196694268691,32.919082805632577,0.072016805145887042,1.785425099255272,49.768039972852115,0.0034194120538392687
Ghana,6.0833,-0.25,2019,292,5.0814295144781667,13.784005650555402,0.051171295666223485,28.302210520995086,0.0044516207415868665,1.2525020085713403,52.926550442567347,0.00056870928309212584
Ghana,5.1,-1.25,2019,1117,5.0026952980124451,16.327629413058247,0.029584750264567694,24.374387315017763,0.0064331914889048381,0.98405688843896078,58.893034538456334,0.00070237175721174635
Ghana,6.6,0.4667,2019,161,4.5782691274209419,13.372197171777628,0.088923577732403752,24.244724874395644,0.038583335321806182,0.76981655062906185,56.124962027518528,0.00250624625894503
Ghana,6.6833,-1.6167,2019,2390,4.48099455025493,13.617789261449227,0.068100659736805111,21.030710201404727,0.01605113238842671,1.1359552517797846,71.145622462315814,0.00062738594548303686
Ghana,5.6266,-0.2581,2019,27,4.4794930110307689,10.742746941454522,0.066614129464813251,26.157004863502614,0.036715250629477933,0.88865379072276651,59.242769136401726,0.0081983790962780276
Ghana,5.5502,-0.2174,2019,111816,4.4262551741379266,12.09046325887028,0.073677280814296364,21.245225592926978,0.01607865420378022,1.3145454500612874,111.51520028507375,0.0006017075645870654
