District,Indicator_3.7.2_adolescent_birth_rate_12_14,Indicator_3.7.2_adolescent_birth_rate_15_19,Indicator_5.b.1_phone_ownership,Indicator_7.1.1_electricity_access,Indicator_6.1.1_safe_water,Indicator_9.2.2_manufacturing_employment ,Indicator_7.1.2_clean_energy_prim,Indicator_8.7.1_child_labour,Indicator_17.8.1_internet_use,Indicator_8.5.2_unemployment_rate_disable,Indicator_6.2.1_safely_managed_sanitation
La Nkwantanang Madina Municipal,0,26.58486708,22.77887971,96.48307989,99.10608117,7.047512257,73.98262524,0.308189023,91.85005562,5.068637804,81.41262226
Kpone Katamanso Municipal,0,36.72985782,25.6231621,94.31984096,92.96290492,12.3601867,74.19429344,0.328269754,89.6714893,6.453715776,60.11327451
Ashaiman Municipal,0,28.07775378,30.00575337,97.13831479,99.84398912,14.87669141,63.03136562,0.508035758,87.62961069,7.541322314,45.26300494
Tema West Municipal,0,14.9068323,22.83992844,95.97114335,99.80946798,9.391506833,79.80523393,0.276883088,93.60200484,4.665959703,79.65212021
Tema Metropolitan Area (TMA),2.127659574,40.34229829,25.08116469,96.01720712,99.48415085,12.73057413,68.19234064,0.339311682,87.72206293,6.885245902,47.49757462
Ningo-Prampram,3.926701571,52.88932419,25.11601916,89.59015227,96.15411982,9.516165057,62.78461648,1.036960544,80.40792406,7.246376812,52.23163422
Shai-Osudoku,0,58.94736842,29.08467758,89.43195964,90.37214178,8.067111694,41.71525912,1.121681692,76.41360875,4.967602592,55.76211797
Ada West,3.787878788,95.01187648,30.91612852,82.7980522,95.47518739,10.62115376,22.47633638,3.029244436,61.51628256,7.01754386,19.14036266
Ada East,11.0701107,85.02024291,29.61887207,88.47952934,94.03963929,9.902789518,36.93880503,1.279193206,65.32238545,11.08742004,47.11499664
South Tongu,2.493765586,99.3883792,31.85019564,87.88617371,75.16143327,8.687065205,33.58445176,1.461423521,66.28283958,8.427543679,49.36790033
Anloga,0,70.10309278,36.63295419,79.57025286,95.81797192,13.90401696,41.28775183,0.80218863,64.74658339,9.730668983,41.40320485
Keta Municipal,0,64.51612903,37.02302272,81.63165409,94.21170712,13.40428282,41.08097083,0.663390663,69.03116224,7.909090909,39.61678586
Ketu South Municipal,1.157407407,66.72091131,26.95414123,83.11722386,84.39592913,18.72945453,40.2170761,0.969612472,66.35096609,9.492787343,52.63704651
Ketu North Municipal,5.571030641,68.85245902,34.9005162,78.06052662,90.23709107,10.3559531,28.20300923,1.777193312,63.26975741,7.170693687,56.41435679
Akatsi North,9.523809524,122.8070175,31.46906886,76.34164777,82.14015765,8.212243367,14.00496707,1.783637069,57.14895615,3.240740741,49.28393524
Akatsi South Municipal,0,73.35907336,35.23397739,82.12562113,85.19643942,8.104611727,28.67765345,1.54646422,65.39206414,7.565217391,57.97807552
Central Tongu,0,91.08910891,29.88451006,85.19026884,75.65316168,4.451328877,17.26145399,1.877777247,61.28280578,3.110047847,38.35716905
North Tongu,7.281553398,97.26962457,32.7425591,86.77669903,68.33333333,7.84478869,20.62459547,3.89494372,64.72740483,6.134969325,43.99669543
Ho West,3.921568627,69.76744186,40.88407627,86.77303967,84.63084281,6.557492516,22.12933564,0.827961769,78.05509695,4.01459854,48.22296088
Adaklu,0,112.033195,34.79767942,75.43313218,65.63169165,4.445886743,15.62195834,2.09760274,65.80435655,5.806451613,34.5144357
Agortime-Ziope,0,52.63157895,31.64142733,81.52215359,65.20247083,11.57887823,18.70662701,4.58474669,63.74586597,2.452830189,40.40795249
Ho Municipal,2.066115702,29.46127946,33.37861342,93.50714886,95.55592935,8.392243336,60.4255677,0.525153667,87.7269395,5.548469388,72.21125665
South Dayi,0,87.61329305,36.56259675,85.04328606,80.78835881,6.648484848,22.57014797,1.13957935,76.59498464,8.950086059,47.34834726
Afadzato South,0,111.1111111,38.54629735,83.67792594,75.63072062,7.925026159,19.1887748,0.435205864,76.33268741,4.893350063,51.91924936
North Dayi,0,83.61204013,41.06991705,78.85088485,89.08023173,7.320188393,19.51432426,4.468188441,78.01591332,7.734056988,48.33690987
Kpando Municipal,0,79.03780069,35.09488185,89.16732217,92.01033824,7.0200959,31.87998652,1.05913504,79.60952468,5.057471264,61.13961158
Hohoe Municipal,2.481389578,66.56580938,36.65058135,93.51841392,90.27338455,8.384342784,40.8721193,0.951500443,83.71271539,8.072289157,64.16704911
Birim South,0,82.35294118,34.00978089,89.6694604,96.81702609,4.926787252,26.94227328,0.621042377,75.81346991,9.41475827,70.41385383
Birim Central Municipal,4.524886878,41.53354633,29.80530973,95.45339305,99.35772839,8.834467479,53.81982591,0.269723533,85.2460177,8.785529716,80.52935379
Achiase,0,94.28571429,33.40871251,87.47062014,92.61134213,4.734783109,18.45356476,0.450184502,69.37700355,6.219312602,67.56463569
Asene Manso Akroso,0,92.82700422,32.48355857,87.15503843,93.1952787,5.106675318,19.03221742,0.617748174,69.72067645,5.115511551,59.02805215
West Akim Municipal,0,55.93451569,30.84227911,86.56058231,86.9537497,5.646901272,34.81125309,0.386514924,74.39542291,4.382929642,69.369291
Upper West Akim,0,86.86868687,33.62048479,82.64235681,83.98967725,10.21209507,23.11894627,0.858458961,67.82616445,4.400749064,54.90092749
Ayensuano,0,120.906801,39.05596763,88.2297486,79.01885475,5.275348891,15.61452514,1.176985342,70.5566794,3.524672709,64.65379281
Nsawam Adoagyiri Municipal,0,52.77044855,27.7193601,93.73826707,98.14984773,11.49972071,55.42739143,0.241766666,82.6213036,3.455964326,69.39399987
Akwapim South Municipal,0,48.21428571,30.27955657,86.57798206,86.68846953,5.36416365,44.76068414,0.331526937,81.98202851,5.695142379,70.34405906
Akwapim North Municipal,0,24.91506229,28.41653744,89.49438018,93.81000754,7.444864935,48.00275256,0.343530941,82.37581912,3.581800581,77.8694517
Okere,0,85.61643836,32.33813893,86.53526004,88.41313178,6.203309169,28.32789505,1.510759772,72.81520315,3.488372093,66.68678334
New Juaben South Municipal,0,18.66666667,28.74928194,97.69860589,99.43571587,6.893497827,67.40871874,0.40312526,89.64205772,6.636670416,83.21308321
New Juaben North Municipal,0,28.05611222,27.59911122,95.30176416,98.21727019,8.163053983,59.14206128,0.189775827,87.95462519,5.24534687,76.41298959
Suhum Municipal,0,67.47638327,37.74766061,91.62467725,93.54490988,7.792128422,34.89258229,0.588932255,79.91109759,5.467928496,78.55693531
Abuakwa North Municipal,0,36.58536585,29.816119,89.64551837,96.39919025,7.498206171,44.63108929,0.47278458,82.93612462,7.203389831,77.62473647
Abuakwa South Municipal,0,83.87096774,33.11977758,87.70119686,90.76276592,6.060298447,32.85934041,0.478695423,78.10398755,7.051282051,82.69689737
Denkyembuor,4.016064257,50.88495575,33.39264636,92.77148429,97.67625213,7.399875493,34.43711357,0.377117661,78.26324413,4.512372635,70.720414
Akyemansa,0,80.55009823,35.27391939,92.0669306,95.8205722,5.036742192,14.59625009,1.066786195,68.57307107,4.428571429,69.52222222
Kwaebibirem Municipal,6.741573034,97.22222222,35.54240094,90.90761969,97.94200944,10.5006625,29.63182738,0.362799135,76.79571795,4.004854369,82.65698063
Birim North,3.6900369,98.9010989,33.80781703,92.08607003,98.64608937,6.098574,28.72627634,1.219951614,76.99948797,7.210626186,79.20060143
Atiwa West,0,110.7784431,37.75105952,89.43598926,97.98008057,5.407200744,26.06871083,0.789712768,79.32098765,3.827751196,80.27796161
Atiwa East,10.30927835,117.1875,35.79659977,92.00610221,96.53699466,5.225906966,30.33816425,0.521762103,79.0290071,5.545617174,80.26645768
Fanteakwa South,6.451612903,56.39097744,36.61339288,89.81162417,84.54514128,6.408279019,29.56581668,0.656527882,79.92071656,4.093567251,78.20850583
Yilo Krobo Municipal,2.386634845,68.40390879,36.07336427,94.9815152,81.08205043,8.302832679,33.31953871,0.98999208,75.05926346,5.714285714,68.94456467
Lower Manya Krobo Municipal,2.570694087,42.06098843,33.05054484,93.82253318,97.68726748,10.10006598,37.42850797,0.500735206,79.51803318,4.902962206,54.00884112
Asuogyaman,2.78551532,50.48859935,33.86017751,91.05268487,91.55219548,9.49470996,29.79513315,0.573065903,77.66598257,4.274465692,53.82934443
Upper Manya Krobo,0,150.9433962,30.65053796,76.9779436,65.79062877,4.734075662,13.87029518,3.307233844,60.18324451,4.631217839,73.72929754
Fanteakwa North,5.494505495,101.0452962,34.14004914,78.17308277,75.05929575,3.882038539,18.80435444,1.676477163,68.31941032,7.99086758,76.6684559
Kwahu South Municipal,3.937007874,90.50772627,30.26680709,78.40734415,80.90520922,5.095962938,22.32707088,0.814499164,72.76987888,6.083086053,58.62755508
Kwahu West Municipal,0,69.76744186,33.03252619,90.95344175,96.42013812,7.468830863,40.14925373,0.423338325,81.29987708,4.672897196,76.10445985
Kwahu East,7.96812749,104.0723982,30.96412787,80.45253715,75.99410898,3.514739229,18.69058776,0.7287404,71.84876829,4.787234043,49.0805841
Kwahu Afram Plains South,0,112.9476584,27.12375852,52.5033481,63.76841455,5.720195428,5.511486556,4.759349681,54.27749246,6.777316736,23.59902067
Kwahu Afram Plains North,0,141.8439716,26.56638844,42.02906779,45.35028954,6.674131243,6.744634949,7.336169163,55.26901139,6.718346253,29.01309778
Amansie South,3.378378378,136.7041199,28.31918048,88.07276948,98.76362535,3.365032919,15.85587404,0.660051952,72.45401855,8,47.95963925
Amansie Central,6.944444444,141.2803532,31.14872489,79.36935401,98.47281404,3.945801072,15.43207772,1.517273576,68.84375235,6.049822064,37.5243876
Akrofuom,6.756756757,117.8571429,33.60446799,58.11182989,85.71703068,3.325268317,14.34061359,0.985866341,70.49692109,7.760532151,42.54881809
Adansi South,0,105.3811659,34.12667946,71.86125633,89.66475811,5.007930348,18.63330844,3.242499051,70.53659351,4.970760234,56.52640362
Adansi Asokwa,0,126.0997067,31.6935468,82.13004011,89.08591936,3.736730361,17.3210893,0.49692909,69.95676807,4.472271914,56.41748942
Obuasi East,3.174603175,41.15226337,26.62683796,97.32142857,99.09634217,10.015195,53.56782834,0.375887512,85.3651963,7.559395248,63.41915776
Obuasi Municipal,0,46.64179104,26.06689137,97.62062545,99.70652277,7.043540882,59.97349238,0.339715874,88.1773399,7.36196319,63.96033772
Adansi North,0,69.93006993,28.47492063,91.2808539,95.68378919,7.414852679,32.33488993,2.396351575,79.74349206,7.052896725,59.28190965
Bekwai Municipal,2.398081535,76.57142857,31.73583412,91.51896421,98.49121616,6.379353432,31.64269493,0.439961032,79.65370602,6.666666667,55.94877236
Amansie West,0,117.4242424,25.90635307,92.04298479,98.54805603,4.060661065,24.62569428,0.991560383,73.93829031,6.923076923,53.74382022
Atwima Kwanwoma,1.253132832,42.29848364,22.96128775,93.64815276,99.6299291,8.787470484,51.83791516,0.208548715,86.19009034,6.519065191,72.85708142
Bosomtwi,5.474452555,68.35722161,27.12262937,91.49711509,99.42735673,9.451584123,45.28653854,0.321812285,84.50956835,5.832449629,68.28191092
Bosome Freho,0,98.18181818,31.22278369,90.3120162,94.11099202,3.080351291,10.43825176,0.543203638,65.77090562,4.073319756,39.46813686
Asante Akim Central Municipal,0,58.70445344,25.64017343,88.10870416,97.53850532,8.491494924,33.66769822,0.512845092,81.93766712,5.893186004,73.74011299
Asante Akim South Municipal,4.750593824,106.1806656,34.60573976,84.74641659,93.61664243,5.016668583,15.05772027,1.465629053,73.30384508,4.418103448,65.00700684
Asante Akim North Municipal,7.96812749,81.96721311,29.23041902,76.72204521,90.88909118,3.168648468,18.55939918,1.709816613,73.08499049,5.945945946,53.36139656
Sekyere Kumawu,0,66.07929515,32.08722046,82.05420999,92.93226756,4.699154649,15.98052768,1.828303916,77.03432576,5.782312925,52.04850869
Sekyere East,0,66.00660066,31.86854744,89.45011197,98.48718587,4.690202033,25.74272207,0.637311703,82.91041107,8.03030303,62.98892472
Juaben Municipal,0,83.10249307,30.30180635,86.41418034,96.9998899,7.486001976,17.65936365,0.36653185,75.39773365,7.536764706,53.62715136
Ejisu Municipal,0,34.97164461,24.64895109,90.25331053,99.5228059,8.738311378,48.39742315,0.463075207,85.28600274,7.833163784,68.19687107
Oforikrom Municipal,0,21.04591837,23.6477262,95.8525522,99.6708071,9.939955822,62.01458401,0.529756537,91.15608229,7.106164384,62.06514772
Asokwa Municipal,0,32.96703297,20.11766088,96.91876036,99.50771585,11.29239306,66.55783701,0.218340611,90.25187115,6.571936057,75.22467816
